"id","name","code","type"
5207,"Hakata/fukuoka, Hukuoka (FUKUOKA),Japan","JPHKT","SEA"
5211,"Hiroshima, Hirosima (HIROSHIMA),Japan","JPHIJ","SEA"
5213,"Moji/kitakyushu, Hukuoka (FUKUOKA),Japan","JPMOJ","SEA"
5214,"Nagoya, Aiti (AICHI),Japan","JPNGO","SEA"
5218,"Shibushi, Kagosima (KAGOSHIMA),Japan","JPSBS","SEA"
5219,"Shimizu, Sizuoka (SHIZUOKA),Japan","JPSMZ","SEA"
5223,"Tokuyama, Yamaguti (YAMAGUCHI),Japan","JPTKY","SEA"
5224,"Tsuruga, Hukui (FUKUI),Japan","JPTRG","SEA"
5959,"Akita, Akita, Japan","JPAXT","SEA"
5961,"Aburatsu, Miyazaki, Japan","JPABU","SEA"
5977,"Ishikari, Hokkaido, Japan","JPISI","SEA"
5986,"Kobe, Hyogo, Japan","JPUKB","SEA"
5987,"Iyomishima, Ehime, Japan","JPIYM","SEA"
5988,"Kumamoto, Japan","JPKMJ","SEA"
6004,"Oita, Oita, Japan","JPOIT","SEA"
6006,"Osaka, Osaka, Japan","JPOSA","SEA"
6019,"Tagonoura, Japan","JPTGO","SEA"
6022,"Sendai, Kagoshima, Japan","JPSEN","SEA"
6023,"Tokyo, Japan","JPTYO","SEA"
6024,"Tomakomai, Hokkaido, Japan","JPTMK","SEA"
6026,"Toyama, Toyama, Japan","JPTOY","SEA"
6034,"Yatsushiro, Kumamoto, Japan","JPYAT","SEA"
6046,"Yokohama, Kanagawa, Japan","JPYOK","SEA"
9996,"Tokyo, Japan - Narita","NRT","AIR"
